A	-3.840814668221414
Adam	-10.45510048528933
After	-6.751133744549675
Alan	-9.953449237799381
Albert	-10.78686540170043
Alec	-11.792387267302527
Alex	-10.99932917585232
Alex.	-10.99932917585232
Alexander	-10.572027722861819
Alice	-10.6812928194529
All	-5.970976358312091
Andrew	-10.122768139099811
Andy	-10.601103322788273
Anne	-10.099567745929376
Anthony	-10.67700811877735
Arthur	-10.647979863357472
Barbara	-11.051831138262347
Barry	-10.926627344075587
Bernard	-10.843587256863078
Billy	-10.829655574301604
Bob	-10.169704128118406
Bob.	-10.169704128118406
Brian	-10.094248584451776
Bruce	-11.08699650563687
Burn	-11.009213935084862
Charles	-9.318165517614544
Charlie	-10.66005057630415
Chris.	-10.134021173998756
Christopher	-10.88834515750457
Claudia	-11.49174605020824
Come	-7.538708794064135
Dave	-10.802899951547687
Despite	-8.774014680098672
Dexter	-11.773721973083166
Don't	-7.4845299221583375
Donald	-11.095623446272393
Duncan	-11.139156694148024
Edward	-9.683316572682887
Ellen	-11.528908796591633
Emma	-11.387888809825458
Finally	-8.932840007633352
Five	-8.146861693803949
Follow	-9.21348882946346
Frank	-10.114884450041268
Frankie	-11.983442504065236
From	-5.428437549598382
Gabriel	-11.289418515031757
Geoffrey	-11.152060098983933
Gilbert	-11.447667561251297
God,	-8.647860246261253
Good	-7.259663113071414
Gordon	-10.669435910329149
Harry	-10.090541934722063
Have	-5.486617238622331
He	-5.13912973886908
He's	-8.598636032371449
Helen	-10.695225305212064
Henry	-9.603733939982622
His	-5.442779651579884
I	-5.250051055056003
I'll	-8.764286016832015
Ian	-9.85688303940833
If	-6.100335160932806
In	-3.9285727557862526
India.	-9.99604892515092
It	-4.814770701744465
Jack	-9.84709842923334
Jacques	-11.497125299327976
Jake	-12.092709274690128
James	-9.262724343446031
Jamie	-11.618555755441404
Jason	-11.580319317402154
Jim.	-10.191683034837181
Jimmy	-10.915108574703387
Joe	-10.204928261587202
John	-8.075991337090935
Joseph	-10.466966653231083
Ken	-10.460059488394808
Lawrence	-10.826340654138981
Let	-8.369778247538491
Let's	-10.06291442828134
Lewis	-10.23561659039265
Looks	-9.244641909806806
Lucy	-10.726677529228013
Maria	-10.7794696997393
Matthew	-10.678910164048832
Men	-7.922515642051775
Michael	-9.312323241990315
Mick	-11.260055438315572
Mickey	-12.14906221124126
Mike	-10.106256734080173
No-one	-10.8374333912887
None	-9.314388479922936
Normally	-9.480713169951285
Now	-6.731839825399422
One	-5.972566703107296
Paul	-9.201142319172465
Peter	-9.0718549070188
Phil	-10.977920638463138
Philip	-10.140112001244956
Powerful	-9.48965725727323
Richard	-9.298822554771412
Roger	-10.6059587726275
Ross	-10.865142260424907
Run	-8.466934275892086
Sam	-10.556326148425091
Samuel	-11.245691017268538
Saturday	-9.614018905348178
Saturday,	-9.614018905348178
Scott	-10.475474051795995
She	-5.744994531370205
Shut	-10.133193473579036
Simon	-10.149318371193932
Steve	-10.110561287404241
Ted	-11.452814253003066
Tell	-8.332966553251882
The	-2.785981203659842
There	-5.983670454745862
They	-5.70446366173718
They're	-9.183383686411181
Things	-8.040022835963995
This	-5.442815107363993
Thomas	-9.604058826275278
Tom	-9.894615321076591
Tommy	-11.454880369440538
Tony	-9.99292804877317
Turn	-8.546121868995451
Underneath	-11.17524506331499
Walter	-10.920548297999206
We	-6.024174973068729
We've	-9.682789100143184
Whether	-7.989823342319494
While	-7.46787077072041
Why	-7.81097340196248
William	-9.381142758185161
You	-5.541296313955169
You'll	-9.389760124476323
You're	-8.466777956687954
a	-3.840814668221414
ability	-9.262955343678058
about	-6.373983561607304
across	-8.334699972169636
after	-6.751133744549675
again	-7.542567850599695
again.	-7.542567850599695
against	-7.4616920665688236
aid	-9.28585621596933
all	-5.970976358312091
all.	-5.970976358312091
almost	-8.050929113404585
along	-8.373568284290553
already	-8.004745102211237
am	-8.236832187905325
amount	-8.795062060242492
an	-5.663232866402157
and	-3.6574238363045
anger	-10.137615813566905
another	-7.472698678039
another.	-7.472698678039
any	-6.760264680693703
approached,	-10.429925381550735
are	-5.3999677675642666
arms	-9.097564257686242
around.	-7.735724506347902
arranged	-10.087902714398872
arrive	-10.436253338642715
as	-5.007718737747603
aside	-10.140667556814801
ask	-8.748209954690381
at	-5.260658605349815
axe	-11.747053726001006
baby	-9.462215203691745
back	-7.02712137530768
back,	-7.02712137530768
back.	-7.02712137530768
badly.	-10.058297851731158
band	-9.63223434523952
bang.	-11.409395015046421
barely	-10.659116869420256
bars	-10.631503518091488
battle	-9.589382327050808
battle.	-9.589382327050808
be	-5.041986102848782
been	-5.948284300135172
before	-7.079546193145499
began	-8.321636784637855
behind	-8.380187828903853
belt	-10.791648828307324
beside	-9.76940106187144
better	-8.039512918049729
big	-8.471321164063879
birds	-9.715303575631351
bit	-8.771891687297897
bit.	-8.771891687297897
black	-8.327829594575208
black.	-8.327829594575208
book	-8.343780937160139
bored	-11.166681367538112
bored.	-11.166681367538114
bottom	-9.66795850467095
bow	-11.147486920281967
bowls	-11.899359386854695
boxes	-10.607730252275882
break	-9.33366588946052
breakfast	-10.08002659072254
breakfast.	-10.08002659072254
breath	-9.893095728903138
breath.	-9.893095728903138
breathe	-11.42834820084866
bring	-8.876498445912452
broke	-9.864232153849803
broken	-9.55972715709486
brother.	-9.49343194235906
brothers	-10.294771928554344
build	-9.556778446957992
built	-8.955090201389316
but	-5.482403115092917
buy	-9.163945085755728
by	-5.218100046356141
called	-8.049864022513496
calling	-10.047608006998665
came	-7.737934174541397
campaign	-9.227549398775828
can	-6.148975521575514
